Doc,Topic,Dominance,Keywords,Document_Text_Content
93,5,0.9826,"psikologi, stunting, rahardjo, dosen, fakultas_kedokteran, membeberkan, kelor, theresia_monica, cegah, telkom_university","['swasta', 'terbaik', 'bimbingan', 'belajar', 'telkom_university', 'komputer', 'indonesia', 'unikom', 'islam', 'unisba', 'padjadjaran']"
94,1,0.987,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['ganjar', 'ajak', 'generasi', 'muda', 'masuk', 'dunia', 'politik', 'balpos', 'kuliah', 'umum', 'ganjar', 'mencanangkan', 'program', 'keluarga_miskin']"
95,0,0.983,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['ganjar', 'mentor', 'politik', 'anak', 'muda', 'kuliah', 'umum', 'kesempatan', 'ganjar', 'mencanangkan']"
96,6,0.9904,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['potret_cantik', 'nisa', 'kinderflix', 'ramai', 'disorot', 'minutes', 'nisa', 'salah', 'lulusan', 'jurusan', 'psikologi', 'nih', 'ikutan', 'baper', 'sama', 'interaksi']"
97,0,0.9845,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['pendaftaran', 'osc', 'medcom', 'resmi', 'ditutup', 'pelamar', 'persada', 'indonesia', 'institut_teknologi_nasional', 'atma_jaya_yogyakarta', 'islam']"
98,0,0.972,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['andi', 'sumangerukka', 'generasi', 'muda', 'ganjar', 'pesan']"
99,2,0.9842,"karya, mode, batik_lasem, kuliah, mahasiswa, indonesia, tim, penghargaan, seoul, sama","['kuliah', 'bebas', 'uang', 'pangkal', 'semester', 'atma_jaya_yogyakarta', 'gajayana', 'kuota_santri', 'islam', 'malang', 'kuota_santri', 'baca']"
100,6,0.6152,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['kemiskinan', 'indonesia', 'diberantas', 'pendidikan', 'kuliah', 'ganjar', 'mengemukakan', 'program', 'ambisius', 'dikenal', 'keluarga_miskin', 'sarjana']"
101,6,0.9873,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['amin', 'kantongi', 'dukungan', 'partai', 'lokal', 'aceh', 'entaskan_kemiskinan', 'ganjar', 'programkan_keluarga', 'miskin_sarjana', 'redaksi', 'published']"
102,6,0.6915,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['ganjar', 'mahfud', 'bertekad', 'entaskan_kemiskinan', 'jawa_barat', 'orang', 'menyelesaikan', 'problem', 'kemiskinan', 'terbaik']"
103,3,0.9845,"lukas, jenis, pendaftaran, program, kuliah, fasilitas, lengkap, hukum, pengalaman, information","['rektor', 'uin', 'smh', 'banten', 'buka', 'diklatsaemil', 'menwa', 'kkn', 'tematik', 'mandiri', 'program', 'mbkm']"
