Position,Organic Position,Searchquery,Device,Title,Description,Pixeldistance from top,Snippet Pixel Height,URL,domain,Sitename,URL Preview,Custom Favicon,Title truncated,Description truncated,Has sitelinks,Has rich results,Has image,location,date,time
29,27,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Darmayanti, Tessa Eka","3 days ago — Darmayanti, Tessa Eka, Universitas Kristen Maranatha, Indonesia. GEWANG: Gerbang Wacana dan Rancang Arsitektur Vol 5 No 1 (2023): April - Articles Peran ...",5037,117,https://ejurnal.undana.ac.id/index.php/index/search/authors/view?firstName=Tessa&middleName=Eka&lastName=Darmayanti&affiliation=Universitas%20Kristen%20Maranatha&country=ID,ejurnal.undana.ac.id,undana.ac.id,https://ejurnal.undana.ac.id › view,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
30,28,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Identitas Politik dalam Kami yang Muda,"Oct 15, 2023 — ... Universitas Kristen Maranatha. Pendaftar dari seminar ini juga berkesempatan untuk menonton: - Babak Final Psycompilation National 2023 - Closing Performance ...",5183,117,https://www.loket.com/event/psycomp2023,www.loket.com,loket.com,https://www.loket.com › event › ps...,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
31,29,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Duduk di Depan Ganjar Pranowo, Mahasiswi Ini Cuek dan ...","Oct 16, 2023 — Bacapres Ganjar Pranowo belum lama ini mengisi kuliah umum di Universitas Kristen Maranatha Bandung, Jawa Barat. Ganjar melalui akun Instagram pribadi ...",5361,117,https://www.merdeka.com/jatim/lebih-pilih-makan-momen-ganjar-pranowo-dicuekin-mahasiswa-ini-jadi-sorotan-35848-mvk.html,www.merdeka.com,merdeka.com,https://www.merdeka.com › jatim,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
32,30,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Sea Cucumber Reduces Breast Cancer Tumor Size ...,"Oct 3, 2023 — Faculty of Medicine, Universitas Kristen Maranatha, Bandung 40164, Indonesia. Abstract. Breast cancer is one of the most common types of cancer affecting ...",5507,117,https://www.tjnpr.org/index.php/home/article/view/2652,www.tjnpr.org,tjnpr.org,https://www.tjnpr.org › home › article › view,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
33,31,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Momen Ganjar Pranowo Dicuekin Mahasiswi Ketika Datang ...,"Oct 16, 2023 — Baru-baru ini, diketahui Ganjar Pranowo berkunjung ke Universitas Kristen Maranatha, Bandung, dalam rangka memberikan kuliah umum.",5654,117,https://mamagini.suara.com/read/2023/10/16/114307/momen-ganjar-pranowo-dicuekin-mahasiswi-ketika-datang-ke-kantin-universitas-kristen-maranatha,mamagini.suara.com,suara.com,https://mamagini.suara.com › read,yes,TRUE,FALSE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
34,32,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Pengetahuan Strategi dan Legalitas Bisnis Bagi Pelaku ...,"Oct 22, 2023 — Event Pengetahuan Strategi dan Legalitas Bisnis Bagi Pelaku Usaha Untuk Perkembangan UMKM dari Universitas Kristen Maranatha - Karirmu.id.",5801,117,https://karirmu.id/events/pengetahuan-strategi-dan,karirmu.id,karirmu.id,https://karirmu.id › events › pengetahuan-strategi-dan,yes,TRUE,FALSE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
35,33,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Ganjar Pranowo Fokus Entaskan Kemiskinan Melalui ...,"7 days ago — Kenapa saya bilang begitu, karena saya sendiri contohnya,” ujar Ganjar saat memberikan kuliah umum di Universitas Kristen Maranatha Bandung, pada Rabu (11/10).",5948,117,https://radarsukabumi.com/politik/ganjar-pranowo-fokus-entaskan-kemiskinan-melalui-pendidikan/,radarsukabumi.com,radarsukabumi.com,https://radarsukabumi.com › politik,yes,TRUE,FALSE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
36,34,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Ganjar Pranowo Dicuekin Mahasiswi di Kantin Universitas ...,"Oct 13, 2023 — Video tersebut disebarkan oleh akun Instagram @arthur12041995, dimana situasi ramai yang berada di kantin Universitas Kristen Maranatha Bandung pada Rabu, 11 ...",6094,117,https://mediakupang.pikiran-rakyat.com/news/pr-1387237713/ganjar-pranowo-dicuekin-mahasiswi-di-kantin-universitas-maranatha-bandung-warganet-mungkin-prabowo-subianto,mediakupang.pikiran-rakyat.com,pikiran-rakyat.com,https://mediakupang.pikiran-rakyat.com › ...,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
37,35,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Ganjar Programkan Satu Keluarga Miskin Satu Sarjana,"Oct 11, 2023 — Ganjar di hadapan ribuan mahasiswa ketika memberikan kuliah umum di Universitas Kristen Maranatha Bandung, Rabu (11/10).",6241,117,https://jateng.akurat.co/news/1333066627/ganjar-programkan-satu-keluarga-miskin-satu-sarjana,jateng.akurat.co,akurat.co,https://jateng.akurat.co › News,yes,FALSE,FALSE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
38,36,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Di Universitas Kristen Maranatha Bandung, Ganjar ...","Oct 11, 2023 — Di Universitas Kristen Maranatha Bandung, Ganjar Pranowo Pamer Bangun SMK Gratis yang Lulusannya Kerja Semua. Syahdu. Kamis, 12 Oktober 2023 | 05:52 WIB.",6388,139,https://www.orbitindonesia.com/humaniora/54410475448/di-universitas-kristen-maranatha-bandung-ganjar-pranowo-pamer-bangun-smk-gratis-yang-lulusannya-kerja-semua,www.orbitindonesia.com,orbitindonesia.com,https://www.orbitindonesia.com › di...,no,TRUE,FALSE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
39,37,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,A Kelompok 6 Tugas Pertemuan 3 - Fakultas Psikologi ...,"Oct 6, 2023 — tugas fakultas psikologi diserahkan kepada: universitas kristen maranatha bandung dr. yenny yuniawaty, m.kn. pendidikan kewarganegaraan tugas pertemuan ...",6557,117,https://www.studocu.com/id/document/universitas-kristen-maranatha/psikologi/a-kelompok-6-tugas-pertemuan-3/74579512,www.studocu.com,studocu.com,https://www.studocu.com › document,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
40,38,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Tak Tanggung! Ganjar Pranowo Datangi Dua Kampus di ...,"Oct 12, 2023 — 'Ngecharge energi di Universitas Kristen Maranatha Bandung. Semangat dan pemikiran mahasiswanya luar biasa. Progresif tapi tetap romantis,' dikutip dari ...",6704,117,https://www.ayobandung.com/umum/7910476297/tak-tanggung-ganjar-pranowo-datangi-dua-kampus-di-bandung-dalam-satu-hari,www.ayobandung.com,ayobandung.com,https://www.ayobandung.com › tak...,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
41,39,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Tree Feast Fresh Bread, Sarijadi, Bandung - Lengkap","4 days ago — Universitas Kristen Maranatha Jl. Prof. Dr. Surya Sumantri No. 62A, Sarijadi, Bandung. Tutup Sementara Tidak Ada No Telepon. Tidak Ada No Telepon. Tutup ...",6881,117,https://pergikuliner.com/restaurants/bandung/tree-feast-fresh-bread-sarijadi,pergikuliner.com,pergikuliner.com,https://pergikuliner.com › restaurants,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
42,40,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Kelas Karyawan Universitas Kristen Maranatha ...,"7 days ago — Bersama ini kelas-karyawan.com menyampaikan informasi Kelas Karyawan Universitas Kristen Maranatha MARANATHA Bandung seperti biaya kuliah karyawan, jadwal ...",7028,139,https://kelas-karyawan.com/?s=Kelas+Karyawan+Universitas+Kristen+Maranatha+MARANATHA+Bandung,kelas-karyawan.com,kelas-karyawan.com,https://kelas-karyawan.com › ...,yes,TRUE,TRUE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
43,41,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,UK Maranatha Bawa Batik Lasem di Seoul Design Award ...,8 days ago — Maba Universitas Kristen Maranatha Deklarasi Cegah Seks Bebas. Karya ini ... Enak Tak Enak Kuliah Daring Terungkap dalam Survei Universitas Maranatha. July 27 ...,7196,139,https://www.kalderanews.com/2023/10/27/uk-maranatha-bawa-batik-lasem-di-seoul-design-award-2023/,www.kalderanews.com,kalderanews.com,https://www.kalderanews.com › uk-...,yes,TRUE,TRUE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
44,42,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Ganjar Pranowo Bertandang ke Universitas Katolik Unpar ...,"Oct 12, 2023 — ... Universitas Kristen Maranatha Bandung, pada Rabu. Di Unpar dan Universitas Maranatha, saat memberi kuliah umum, Ganjar mengingatkan peran anak muda di ...",7365,139,https://www.katolikku.com/news/16110476617/ganjar-pranowo-bertandang-ke-universitas-katolik-unpar-dan-universitas-kristen-maranatha,www.katolikku.com,katolikku.com,https://www.katolikku.com › news,yes,TRUE,TRUE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
45,43,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Ini Materi yang Bakal Diujikan Online Test OSC, Cek ...",6 hours ago — TPA Berhitung. Universitas Esa Unggul. Matematika; IPA; IPS; Bahasa Inggris; Bahasa Indonesia. Universitas Kristen Maranatha. Bahasa Inggris; TPA; TPA Berhitung ...,7534,117,https://www.medcom.id/pendidikan/berita-kampus/VNxdMmDN-ini-materi-yang-bakal-diujikan-online-test-osc-cek-kampus-tujuanmu,www.medcom.id,medcom.id,https://www.medcom.id › pendidikan,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
46,44,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Pendaftaran Universitas Kristen Maranatha (UKM) 2024/2025,"6 hours ago — Bersama ini kami kuliah-sabtu-minggu.com menyampaikan informasi tentang Pendaftaran Universitas Kristen Maranatha (UKM) 2024/2025, Sebagai berikut : Sejarah ...",7681,117,https://kuliah-sabtu-minggu.com/pendaftaran-universitas-kristen-maranatha-ukm-2024-2025/,kuliah-sabtu-minggu.com,kuliah-sabtu-minggu.com,https://kuliah-sabtu-minggu.com › ...,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
47,45,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Ganjar Pranowo: Pendidikan kunci pemberantasan ...,"Oct 12, 2023 — Hal itu disampaikan Ganjar di hadapan ribuan mahasiswa ketika memberikan kuliah umum di Kampus Universitas Kristen Maranatha Bandung, Jawa Barat. 'Saya ...",7828,117,https://www.antaranews.com/berita/3769410/ganjar-pranowo-pendidikan-kunci-pemberantasan-kemiskinan,www.antaranews.com,antaranews.com,https://www.antaranews.com › berita,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
48,46,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,CuciWangi Career Information 2023,"4 days ago — 2 outlet CuciWangi Bandung berlokas di Dago (depan kantor BAPPEDA) & Depan Universitas Maranatha. 1 outlet di Sukabumi. Location: Bandung, Jawa Barat ...",7974,117,https://glints.com/id/en/companies/cuciwangi/2a9dc80b-5da4-4674-8904-8e2a5d3a7a6c,glints.com,glints.com,https://glints.com › companies › cuc...,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
49,47,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Saputra, Gabriel Revi, Universitas Kristen Maranatha, Indonesia","7 days ago — Saputra, Gabriel Revi, Universitas Kristen Maranatha, Indonesia. JURNAL HUKUM SEHASEN Vol 9 No 2 (2023): Oktober - Articles Corporate Liability and Law ...",8121,117,https://jurnal.unived.ac.id/index.php/index/search/authors/view?firstName=Gabriel&middleName=Revi&lastName=Saputra&affiliation=Universitas%20Kristen%20Maranatha&country=ID,jurnal.unived.ac.id,unived.ac.id,https://jurnal.unived.ac.id › view,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
50,48,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Ganjar : Pendidikan Kunci Utama Memberantas Kemiskinan,"7 days ago — Ganjar Pranowo memberikan kuliah umum di Universitas Kristen Maranatha Bandung, pada Rabu (11/10). (Foto: Tim Media Ganjar Pranowo). BANDUNG-RADAR ...",8268,117,https://www.radarbogor.id/2023/10/28/ganjar-pendidikan-kunci-utama-memberantas-kemiskinan/,www.radarbogor.id,radarbogor.id,https://www.radarbogor.id › ... › 28,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
51,49,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Ganjar “Gaspol”, Wong Cilik Bahagia — Opini - inspirensis.id","Oct 12, 2023 — Kali ini Ganjar Pranowo. Ia baru saja memberikan kuliah umum di Universitas Kristen Maranatha (11 Oktober 2023). ... UK Maranatha, Bandung (11/10/2023). (Sumber ...",8445,117,https://inspirensis.id/artikel/ganjar-gaspol-wong-cilik-bahagia/,inspirensis.id,inspirensis.id,https://inspirensis.id › artikel › ganj...,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
52,50,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"drg. Rivita Siagian - Buat Janji Dokter, Biaya Konsultasi","Oct 15, 2023 — Rivita Siagian adalah seorang Dokter Gigi Umum. Beliau menamatkan pendidikan Kedokteran Gigi dan Mulut di Universitas Kristen Maranatha. Selengkapnya. Lokasi & ...",8592,117,https://www.alodokter.com/cari-dokter/drg-rivita-siagian,www.alodokter.com,alodokter.com,https://www.alodokter.com › drg-ri...,yes,FALSE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
53,51,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Ganjar Tak Akan Biarkan Jakarta Tenggelam Meski Ibu ...,"Oct 11, 2023 — Pernyataan itu disampaikan Ganjar ketika menjawab pertanyaan salah satu mahasiswa Universitas Kristen Maranatha Bandung. Pada momen tersebut, Ganjar hadir ...",8739,117,https://www.jpnn.com/news/ganjar-tak-akan-biarkan-jakarta-tenggelam-meski-ibu-kota-pindahkekaimantan,www.jpnn.com,jpnn.com,https://www.jpnn.com › nasional,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
54,52,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,RedDoorz near Setrasari Mall 4 - Bandung,"Rating: 4.4 · ‎2,420 reviews · ‎Price range: $$$$",8886,139,https://www.reddoorz.com/en-id/hotel/indonesia/bandung/sukasari/sarijadi/reddoorz-near-setrasari-mall-4/?check_in_date=29-09-2023&check_out_date=30-09-2023&rooms=1&sort_by=popular&order_by=desc&guest=1&new_user_promo=true,www.reddoorz.com,reddoorz.com,https://www.reddoorz.com › sarijadi,yes,FALSE,FALSE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
55,53,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Author Details | Jurnal Dimensi DKV Seni Rupa dan Desain,"Oct 23, 2023 — Aryani, Dewi Isma, Dosen Desain Komunikasi Visual, Fakultas Seni Rupa dan Desain Universitas Kristen Maranatha, Indonesia.",9054,117,https://e-journal.trisakti.ac.id/index.php/seni/search/authors/view?givenName=Dewi%20Isma&familyName=Aryani&affiliation=Dosen%20Desain%20Komunikasi%20Visual%2C%20Fakultas%20Seni%20Rupa%20dan%20Desain%20Universitas%20Kristen%20Maranatha&country=ID&authorName=Aryani%2C%20Dewi%20Isma,e-journal.trisakti.ac.id,trisakti.ac.id,https://e-journal.trisakti.ac.id › view,yes,FALSE,FALSE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
56,54,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Ganjar Canangkan Program Satu Keluarga Miskin ...,"Oct 11, 2023 — Bacapres Ganjar Pranowo saat mengisi kuliah umum di Universitas Kristen Maranatha, Bandung, Rabu (11/10/2023). Foto: Dok. Istimewa. Bakal Calon Presiden ...",9201,117,https://kumparan.com/kumparannews/ganjar-canangkan-program-satu-keluarga-miskin-satu-sarjana-21MQvxNlnpN,kumparan.com,kumparan.com,https://kumparan.com › kumparann...,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
